ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P15YM_AN,GRAPROES,Mun,Loc,Ageb,Manza,Key
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,19,11,8.47,079,0001,0468,019,3107900010468019
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,20,,,079,0001,0468,020,3107900010468020
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,21,23,7.54,079,0001,0468,021,3107900010468021
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,22,0,0,079,0001,0468,022,3107900010468022
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,23,,10.31,079,0001,0468,023,3107900010468023
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,24,6,7.61,079,0001,0468,024,3107900010468024
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,25,3,7.87,079,0001,0468,025,3107900010468025
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,26,3,9.56,079,0001,0468,026,3107900010468026
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,27,0,14.08,079,0001,0468,027,3107900010468027
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,28,,11.48,079,0001,0468,028,3107900010468028
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,29,0,14.29,079,0001,0468,029,3107900010468029
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,30,0,12.18,079,0001,0468,030,3107900010468030
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,31,0,10.63,079,0001,0468,031,3107900010468031
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,32,0,14.21,079,0001,0468,032,3107900010468032
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,33,,,079,0001,0468,033,3107900010468033
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,34,,,079,0001,0468,034,3107900010468034
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,35,,9.11,079,0001,0468,035,3107900010468035
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,37,,7.17,079,0001,0468,037,3107900010468037
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,38,0,10.67,079,0001,0468,038,3107900010468038
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,39,0,10.39,079,0001,0468,039,3107900010468039
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,40,0,10.81,079,0001,0468,040,3107900010468040
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,41,,8.19,079,0001,0468,041,3107900010468041
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,42,,7.43,079,0001,0468,042,3107900010468042
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,43,,8,079,0001,0468,043,3107900010468043
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,44,4,8.04,079,0001,0468,044,3107900010468044
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,45,0,12.17,079,0001,0468,045,3107900010468045
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,46,,12.73,079,0001,0468,046,3107900010468046
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,47,0,12.83,079,0001,0468,047,3107900010468047
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,48,0,14.45,079,0001,0468,048,3107900010468048
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,49,0,15.86,079,0001,0468,049,3107900010468049
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,51,,,079,0001,0468,051,3107900010468051
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,52,0,11,079,0001,0468,052,3107900010468052
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,53,,6.75,079,0001,0468,053,3107900010468053
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,54,0,11.37,079,0001,0468,054,3107900010468054
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,468,800,0,0,079,0001,0468,800,3107900010468800
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,1,6,9.13,079,0001,0472,001,3107900010472001
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,2,5,8.62,079,0001,0472,002,3107900010472002
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,3,9,9.21,079,0001,0472,003,3107900010472003
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,4,5,9.63,079,0001,0472,004,3107900010472004
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,5,,10.24,079,0001,0472,005,3107900010472005
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,6,3,9.38,079,0001,0472,006,3107900010472006
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,7,14,7.49,079,0001,0472,007,3107900010472007
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,8,,10.02,079,0001,0472,008,3107900010472008
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,9,5,8.54,079,0001,0472,009,3107900010472009
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,10,3,8.95,079,0001,0472,010,3107900010472010
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,11,3,9.64,079,0001,0472,011,3107900010472011
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,12,5,8.42,079,0001,0472,012,3107900010472012
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,13,,9.17,079,0001,0472,013,3107900010472013
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,14,8,8.53,079,0001,0472,014,3107900010472014
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,15,3,9.29,079,0001,0472,015,3107900010472015
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,16,,8.62,079,0001,0472,016,3107900010472016
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,17,5,6.73,079,0001,0472,017,3107900010472017
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,18,4,9.08,079,0001,0472,018,3107900010472018
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,19,4,9.14,079,0001,0472,019,3107900010472019
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,20,8,7.87,079,0001,0472,020,3107900010472020
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,21,13,7.15,079,0001,0472,021,3107900010472021
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,22,9,7.02,079,0001,0472,022,3107900010472022
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,23,0,0,079,0001,0472,023,3107900010472023
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,24,,10.68,079,0001,0472,024,3107900010472024
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,25,,7.04,079,0001,0472,025,3107900010472025
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,26,,8.67,079,0001,0472,026,3107900010472026
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,27,,8.32,079,0001,0472,027,3107900010472027
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,28,,10.75,079,0001,0472,028,3107900010472028
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,29,7,6.03,079,0001,0472,029,3107900010472029
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,30,3,9.36,079,0001,0472,030,3107900010472030
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,31,0,0,079,0001,0472,031,3107900010472031
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,32,,7.47,079,0001,0472,032,3107900010472032
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,33,,8.12,079,0001,0472,033,3107900010472033
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,35,,9.85,079,0001,0472,035,3107900010472035
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,36,,,079,0001,0472,036,3107900010472036
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,37,15,6.89,079,0001,0472,037,3107900010472037
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,38,17,6.55,079,0001,0472,038,3107900010472038
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,472,39,,8.65,079,0001,0472,039,3107900010472039
